epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,18962.8,1.36254,0.85591,1.06841,0.80943,0.82781,0.87285,0.54595,1.30056,0.73331,1.04389,0.000478762,0.000478762,0.000478762
74,19223.1,1.34724,0.84521,1.06699,0.79764,0.83224,0.87294,0.54529,1.30935,0.73505,1.04828,0.000462259,0.000462259,0.000462259
75,19481.6,1.35118,0.85055,1.06415,0.79414,0.8306,0.87159,0.54733,1.29813,0.73209,1.04649,0.000445756,0.000445756,0.000445756
76,19736.5,1.34311,0.84633,1.06566,0.80287,0.82441,0.87086,0.54545,1.3009,0.72813,1.04941,0.000429253,0.000429253,0.000429253
77,19991,1.3403,0.83872,1.06596,0.78475,0.84773,0.87261,0.54412,1.30598,0.73065,1.05136,0.000412749,0.000412749,0.000412749
78,20246.3,1.34191,0.83128,1.06682,0.80769,0.83363,0.87127,0.54415,1.3051,0.73313,1.04915,0.000396246,0.000396246,0.000396246
79,20502,1.34277,0.83413,1.06279,0.78995,0.83668,0.87014,0.54474,1.30606,0.73465,1.04989,0.000379743,0.000379743,0.000379743
80,20755.2,1.33862,0.83239,1.06285,0.79584,0.84044,0.87194,0.5465,1.30821,0.72625,1.04986,0.000363239,0.000363239,0.000363239
81,21009.1,1.33297,0.82455,1.06076,0.81167,0.82613,0.87418,0.54729,1.30711,0.72495,1.0474,0.000346736,0.000346736,0.000346736
82,21263.9,1.33363,0.82004,1.05765,0.8081,0.83304,0.87252,0.54639,1.30457,0.72125,1.04843,0.000330233,0.000330233,0.000330233
83,21518.7,1.335,0.83073,1.06305,0.81286,0.82746,0.87213,0.54466,1.30388,0.72373,1.04724,0.000313729,0.000313729,0.000313729
84,21774,1.33273,0.82317,1.05823,0.79705,0.83097,0.87156,0.54528,1.30498,0.72327,1.04772,0.000297226,0.000297226,0.000297226
85,22037.9,1.32799,0.81825,1.05698,0.80647,0.82529,0.87372,0.54543,1.30485,0.72345,1.04871,0.000280723,0.000280723,0.000280723
86,22306.7,1.33602,0.82227,1.06251,0.79265,0.84935,0.87567,0.54541,1.30882,0.72102,1.05212,0.00026422,0.00026422,0.00026422
87,22574.9,1.31898,0.81132,1.05643,0.80941,0.82761,0.87571,0.54569,1.30586,0.71966,1.05122,0.000247716,0.000247716,0.000247716
